conv_id,target_summary,generated_summary
hit:2600_conv:5201,I was about 8 years old and my mom left me all night with her friends. I cried myself to sleep.,My mom left me over night with some of her friends when I was 8 years old.
hit:2611_conv:5223,My wife just gave birth to a bouncing baby boy. I am so happy,My wife just gave birth to a bouncing baby boy.
hit:2624_conv:5249,Was promoted at my place of work barely a month of joining the company,Was promoted barely a months of joining my new company
hit:2625_conv:5250,I loved seeing my nephew open his birthday gifts. He was full of pure happiness.,My nephew just had his birthday party_comma_ and I loved seeing how happy he
hit:2631_conv:5262,Why won't I get made at you?,Why won't I get angry at you for not passing your exams
hit:2639_conv:5278,I have faith in my children. Because I taught them well,I confident in my children's abilities because I taught them well
hit:2648_conv:5297,I made a birthday cake for my nephew_comma_ and I made sure to have all the ingredients together.,I made a sweet birthday cake for my nephew_comma_ and I was ready with
hit:2651_conv:5302,I took some of my friends food the other day and felt bad.,I took some of my friends food the other day.
hit:2654_conv:5309,I caught my wife red handed cheating on me I feel so bad,I caught my wife red handed cheating on me I feel so bad
hit:2659_conv:5318,One time I got invited to a shady party and I thought that it was a bad idea to go. We did though and it was a great time.,One time in freshman year I got invited to this really shady sounding party. We went to
hit:2669_conv:5338,My friend was getting married a few weeks ago but I was forced to work rather than attend his wedding. I'm really worried about if he'll still be my friend after that.,I had a friend who was getting married last month. My job forced me to work on
hit:2669_conv:5339,I got crashed into this morning by another car who was texting while driving,I got crashed into this morning by another car who was texting
hit:2676_conv:5352,I had a drunken one night stand.,I feel so bad for having a drunken one night stand
hit:2687_conv:5375,I am looking forward to my birthday_comma_,My birthday is next week.
hit:2703_conv:5406,I did not get the A grade in math class.,I failed my math class.
hit:2706_conv:5413,AT my sweet swixteen birthday party there was a boy I liked. He asked one of the other girls to be his girlfriend. I felt terrible. ,When I was at my sweet sixteen birthday party_comma_ my crush asked another girl
hit:2710_conv:5420,A friend of mine misunderstood I was saying,I was trying to settle a score between my friend and his girl friend
hit:2721_conv:5443,In the airplane_comma_ last week_comma_ I was borred by someone knocking repeatedly and aggressively on the toilet door.,In the airplane last week_comma_ I was borred by someone knocking repeatedly
hit:2735_conv:5470,Could remember the feelings of the Christmas season,When the family gets together from different parts of the country
hit:2737_conv:5475,I always try to be prepared before I go on a trip.,I like to be ready before a long trip.
hit:2741_conv:5483,in myself for losing my temper with my child ,when my child threw food at me 
hit:2750_conv:5500,i was shocked when i saw my dog missing the other day,i was shocked when i saw my dog missing the other day
hit:2752_conv:5504, i was crushed when i saw my dog had gotten out, i was crushed when i saw my dog had gotten out
hit:2757_conv:5515,Someone cut me off in traffic the other day.,Someone cut me off in traffic the other day_comma_ and they were going pretty
hit:2758_conv:5516,Im so waiting for my new car_comma_ and cant wait to go pick it up. ,to go pick up my new car 
hit:2758_conv:5517,I've been spending too much time alone lately.,I've not been around too many people lately.
hit:2762_conv:5524,when my friend wanted to move into my house that i have up for sale. ,when my friend wanted to move into my home 
hit:2766_conv:5532,I was going to order a pair of converse for my daughter for school. I put them in my cart and the next day they were sold out!,I ordered some school shoes for my daughter and was waiting for my check to hit the bank
hit:2768_conv:5536,One time in school_comma_ I was asked to give a speech in front of the class. I really don't like speeches and was nervous leading up to the speech.,I had to give a speech one time in school and I was very nervous. I managed
hit:2777_conv:5554,I care a lot about all the little birds in my neighborhood. I am a sensitive soul and I just want to help every critter I see.,I think a lot about all the little birds in my neighborhood_comma_ I always
hit:2781_conv:5562,My friend just got engaged. I can't believe it. She was never the one we expected to settle down. I can't even go on a decent date.,My friend just got engaged to her girlfriend. I can't even get a boyfriend.
hit:2785_conv:5570,I saw someone using a trashcan as a drum set on the street yesterday. I was inspired because they were so efficient with what they had!,I saw someone using a trashcan as a drum set on the street yesterday. I was
hit:2793_conv:5587,I am blessed with a very good woman,My wife is so caring I feel blessed to have her as a wife
hit:2806_conv:5613,I am going out of town next week. I was having a very hard time finding someone to watch my dog. My sister volunteered to take him while I'm gone.,I am going on vacation next week. I had been stressing out trying to find someone to
hit:2812_conv:5625,A friend of mine wrote a book. I admire the dedication and knowledge she has to complete such a big project.,A friend just published her own book. I don't know how she does it_com
hit:2824_conv:5648,I was so shocked when my aunt got me a computer for college. I was just happy,I was surprised when my aunt got me a computer for school. It was very nice of
hit:2830_conv:5661,My friends want me to scuba diving with them. I really don't want to because I worry about sharks and other creatures. ,My friends want me to go scuba diving with them. I don't really want to
hit:2835_conv:5671,I was excited when I had a chance to get into a college I wanted. I just had faith it would work out,I was excited when I got to go visit a potential college. It was somewhere I wanted
hit:2839_conv:5679,I am very sad these days.,I am very sad these days.
hit:2843_conv:5687,I am waiting on my test results to come back.  I'm fairly certainly I did very well on the test.,I am waiting to hear back on how well I did on my entrance exams.
hit:2848_conv:5697,I feel like an idiot I ran up and hugged the wrong person at the grocery store... I thought it was my friend Beth,I hugged a random woman at the store today. I guess she is a twin
hit:2851_conv:5703,I was upset when I had to pick up mu drunk friend last weekend. He was being a pain,I was upset when I picked up my drunk friend. He was just being a pain
hit:2873_conv:5747,I am all ready for my camping trip this weekend.  I made a long list and checked everything off.,After a long week_comma_ we are all packed for a weekend camping excursion
hit:2879_conv:5759,Alone while family was at a party when someone rammed a quad into the garage.,I was driving out in the field and crashed into my garage door.
hit:2892_conv:5784,I lost my wallet the other day and my neighbor returned it. I was so happy and thankful.,I lost my wallet the other day and my neighbor returned it. I was looking for it
hit:2899_conv:5798,I went to the park yesterday and read a book under a tree. Felt so good to relax for awhile.,I went to the park to read a book yesterday. It was very relaxing.
hit:2911_conv:5823,I have ordered all of my books for this semester adn there are three ore weeks before school starts,I have already ordered all of my books for this semester. I am so ready.
hit:2914_conv:5829,MY favorite restaurant is closing this weekend. I am distraught!,I can't believe my favorite restaurant is closing. Its a family favorite.
hit:2919_conv:5838,I wish I was Mark Cuban. I would be rich.,I wish I was Mark Cuban. I would be rich.
hit:2920_conv:5840,I am sure that my brother will come home from Iraq.,I am sure my brother will come home from Iraq.
hit:2929_conv:5859,My daughter is growing so fast. She is almost taller than me already. I'm not ready.,I can't believe my daughter is growing so fast. I wish she was 4 again.
hit:2935_conv:5870,I was thinking the other day about how nice it was in the old days when crimes almost never happened. Now it seems like people are getting killed all the time. I miss the good old days.,When I was a kid no one locked their doors or had to get weapons for self-
hit:2937_conv:5875,My sister and I are fighting.,My sister and I got into this huge fight and she called me a fat cow
hit:2938_conv:5876,One time I ordered a game on the internet and it took a week longer that it was supposed to_comma_ to get delivered and I had no idea when it would be delivered. ,I ordered a game off of the internet and it came in on a way later date than
hit:2948_conv:5896,The other day I was stuck on the side of the road because my car stopped working. Luckily I had a Triple A membership so I was able to get a jump start. Glad I planned ahead!,I had some car trouble the other day. My car wouldn't start and I didn't
hit:2969_conv:5939,I am pretty thankful to have family living close,I am pretty thankful to have family living close
hit:2988_conv:5976,A group of students at the university are extorting money from me. I am too afraid to go back to the university.,A group of students at the university are extorting money from me. I am too afraid
hit:2991_conv:5983,I am optimistic about the results about my exam test. I think I did well!,I am optimistic about the results about my exam test. I think I did well!
hit:2997_conv:5994,My daughter left with her friends and her room is a mess. I am so upset.,I let my daughter go out with her friends today. She left her rooma a mess
hit:3000_conv:6001,I am reluctant to confront my my best friend's girlfriend. I think my best friend is cheating on her...,I am reluctant to confront my friend's girlfriend. I think my best friend is cheating on
hit:3002_conv:6004,I remember the good ol' days of when I didn't have any responsibilities and I was a kid!,I remember the good ol' days of when I didn't have any responsibilities and I was
hit:3004_conv:6008,I heard a banging on my window at 3AM last night. I was terrified on what it was but it turned out to be a tree branch.,I heard a banging on my window at 3AM last night. I was terrified on what
hit:3021_conv:6042,Well someone I am thinking of working things out with talked about coming over on Sunday. I felt really uncomfortable with that because they haven't done enough to build back enough trust with me yet. And lo and behold..they acted up and made the decision for me anyway.,Well someone I am thinking of working things out with talked about coming over on Sunday. I
hit:3024_conv:6049,I am so happy that my daughter is doing so much better in school,I am so happy that my daughter is doing so much better in school
hit:3034_conv:6069,I was expecting some help from a coworker but he didn't keep his word. Before_comma_ I held him in high esteem. Not anymore.,I was expecting some help from a coworker but he didn't keep his word. Before
hit:3036_conv:6073, The other week it sounded like a bomb went off. I am in a very dangerous city_comma_ so you never know here.,The other week it sounded like a bomb went off. I am in a very dangerous city
hit:3038_conv:6077,I am very irritated with people who want to make everyone else miserable when they are.,I am very irritated with people who want to make everyone else miserable when they are. That
hit:3040_conv:6081,I farted down a grocery isle thinking I was alone_comma_ but someone was standing right behind me and smelled it!,I let one out down a grocery isle while shopping thinking I was alone_comma
hit:3049_conv:6099,I am so excited to spend each day with the kids during the summer,I am so excited to spend each day with the kids during the summer
hit:3051_conv:6102,There was a laptop on sale but by the time I got to the store after work_comma_ it was sold out.,There was a laptop on sale but by the time I got to the store after work_
hit:3054_conv:6108,Last time I went through some old photos I was reminded of my childhood years.,I recently went through some old pictures and it reminded me of my childhood.
hit:3055_conv:6110,I am blessed to be able to go New York City for Christmas.,I am blessed to be able to go to New York City for Christmas.
hit:3063_conv:6127,I had to stay late for work_comma_ and my family went out to dinner without me.,I had to stay late for work_comma_ and my family went out to dinner
hit:3064_conv:6129,"An old ""Friend"" that's a girl wants to go get drinks tonight.  Not sure if its a trap or not.","An old ""Friend"" that's a girl wants to go get drinks tonight. Not sure"
hit:3067_conv:6134,I am very sad my best friend didn't come to my wedding.,I am very sad my best friend didn't come to my wedding.
hit:3074_conv:6149,I cried the night I found out my best friend died.,I cried the night I found out my best friend died.
hit:3082_conv:6165,I bumped into an old friend from elementary school today.,I bumped into an old friend from elementary school today.
hit:3084_conv:6168,Going to try out this new restaurant tomorrow. Heard some great reviews.,Going to try out this new restaurant tomorrow. Heard some great reviews.
hit:3091_conv:6182,There was a time my mom and dad didn't see each other for 4 years because of school.,There was a time my mom and dad didn't see each other for 4 years because of
hit:3092_conv:6185,I'm babysitting my brother's dog in 2 weeks.,I'm babysitting my brother's dog in 2 weeks.
hit:3095_conv:6191,I have recently started gardening_comma_ but am not very good.  Thankfully_comma_ my dad came over and helped me out!  He saved ma a lot of time and effort!,I have recently started gardening_comma_ but am not very good. Thankfully_com
hit:3104_conv:6208,I am going to be a class mom this year. I care so much about the little kids,I am volunteering to be a class mom this year.
hit:3112_conv:6224,Yesterday_comma_ my son spoke his first word. My eyes were filled with tears.,My son spoke his first word yesterday. I was filled with pride.
hit:3115_conv:6231,My sister and I watch each other's children while we work,My sister and I watch each other's children while we work
hit:3124_conv:6248,I remember calling my teacher mama in front of the entire class.,I embarassed myself in front of my class in high school
hit:3126_conv:6252,I sent my daughter shopping for school clothes. She cam back with three thing. I am so mad.,I let my daughter go shopping for school clothes with her friends today. I am so mad
hit:3128_conv:6256,I am going to ace all my classes this semester. I am determined.,I am going to ace all of my classes this semester. I didn't overload myself like
hit:3129_conv:6258,I felt a little bad I accidentally bought 6 packages of clearance cookies. I thought they were gluten free but I got the wrong kind. I was in a rush!,I felt a little bad I accidentally bought 5 packages of clearance cookies. I thought they were
hit:3134_conv:6269,I am super aggravated at people that just can't let things be peaceful. Even if you disagree..what is so hard about just being nice and letting it still not get ugly?,I am super aggravated at people that just can't let things be peaceful. Even if you
hit:3140_conv:6281,I lost another wallet today. I just can't keep up with those things,I lost another wallet today. I am so mad.
hit:3143_conv:6287,My grandma broke a fingernail yesterday. I took her to the ER_comma_ but turns out she is fine.,I took my grandma to the ER yesterday because she broke a nail. She thanked me for
hit:3146_conv:6292,My ex was supposed to get our son today so I could take my daughter school shopping. He flaked.,I can't believe my ex flaked on me again. He was supposed to pick up
hit:3150_conv:6301,My daughter and I found a sweet little bird that was hurt yesterday_comma_ sitting outside our door. We are trying to give it water and help it heal. Its so pitiful and helpless.,My daughter and I found a sweet little bird that was hurt yesterday_comma_ sitting
hit:3153_conv:6306,I was so mad when I got a flat tire last weekend. It was in traffic as well,I was so mad last week when I got a flat. It was in traffic too
hit:3154_conv:6308,I could not wait to go to the amusement park. I had no been to one in a long time,I could not wait to go to the amusement park. I had not been in awhile.
hit:3155_conv:6311,Went to the park yesterday alone. My friends ditched me.,Went to the park alone yesterday. Feels bad.
hit:3163_conv:6326,My dad left for deployment to Afghanistan yesterday. I am so depressed.,My dad left for his deployment to Afghanistan yesterday. It was a sad time.
hit:3164_conv:6328,I just had to bury my Golden retriever today.  I had him for 10 years.,I just had to bury my Golden retriever today. I had him for 10 years.
hit:3173_conv:6346,I can’t wait to go on a blind date,I can't wait to go on a blind date
hit:3181_conv:6362,I am worried about my interview,I am worried about my interview
hit:3183_conv:6366,I changed my baby's diaper for the first time today. It was nasty.,I changed my baby's diaper for the first time ever today. I was so grossed
hit:3183_conv:6367,last week i felt all alone when the family left,last week i felt all alone when the family left
hit:3185_conv:6370,i felt sad when I was all alone the other day,i felt sad when I was all alone the other day
hit:3186_conv:6372,I broke up with my boyfriend a month ago.  It was hard but he just wasn't right for me.  The biggest problem I have now is that I feel so isolated and lonely without him.,I broke up with my boyfriend a month ago.  It was hard but he just wasn
hit:3192_conv:6384,I was pretty terrified when a tornado watch was issued. I was real worried,I was real scared when a tornado watch was issued. It just worried me
hit:3192_conv:6385,Passed by my old classroom. Looking in_comma_ it made me miss the time I suffered in the back through lecture.,Passed by my old classroom. Looking in_comma_ it made me miss the
hit:3220_conv:6440,I still have everything my kids have ever made for me. Its almost hoardinf.,I keep everything my kids make
hit:3225_conv:6451,The bird sin my neighborhood all gather on my fence if I haven't feed them that day. I feel very protective and cannot help but take care of them.,The birds in my neighborhood all gather on my fence if I haven't feed them that day
hit:3229_conv:6458,I got in a bit of an altercation with a co-worker today_comma_ and I'm afraid it may lead to me losing my job. It started with a misunderstanding_comma_and when they didn't want to simply accept that it was a misunderstanding after I apologized_comma_ I decided to simply defend myself and there was a verbal back-and-forth witnessed by a few people. This is not the image I wanted to have at my job... ,I got in a bit of an altercation with a co-worker today_comma_
hit:3240_conv:6480,My new neighbors just moved in_comma_ and they are around my age. Hope we can be friends.,My new neighbors just moved in_comma_ and they are around my age. Hope
hit:3241_conv:6482,I went by my old school_comma_ and so much has changed.,I went by my old school_comma_ and so much has changed.
hit:3242_conv:6484,I asked my roomie if he wanted cake_comma_ and he said no. Turns out he ate all my cake.,I asked my roomie if he wanted cake_comma_ and he said no.
hit:3251_conv:6503,I just bought a lawn mower because mine broke and the grass was getting so long. I barely had it 3 days when my shed was broken into and it was stolen! I'm so irate!,I just bought a lawn mower because mine broke and the grass was getting so long.
hit:3254_conv:6508,I won a year of unlimited pizza. I'm so psyched.,I won a year of unlimited pizza. I'm so psyched.
hit:3266_conv:6532,Last week was my birthday. When I got to work_comma_ my office was decorated and there was a cake and some gifts on my desk. I wasn't expecting it.,Last week was my birthday and I had to work. When I got to work_com
hit:3268_conv:6537,I am looking forward to the new season of Game of Thrones.  I am so excited for it!,I am looking forward to the next season of Game of Thrones.  I can't wait
hit:3274_conv:6548,I am pretty sure I am going to get this planning done soon,I am pretty sure I am going to get this planning done soon
hit:3276_conv:6553,It was nice to have an adult gathering with no kids with family,It was nice to have an adult gathering with no kids with family
hit:3287_conv:6574,I have faith in Trump.,I have faith in Trump.
hit:3289_conv:6579,I found out that my favorite tv show got cancelled.  I am so sad it happened.,I found out that my favorite tv show got cancelled.  I'm so sad it happened
hit:3294_conv:6589,My friend always interrupts me when I talk.  It really gets under my nerves.,My friend always interrupts me when I talk.  It really gets on my nerves.
hit:3295_conv:6590,I always know if I need a ride_comma_ my brother will help me.,I always know if I need a ride_comma_ my brother will help me.
hit:3296_conv:6593,My phone broke_comma_ so I attempted to buy a phone from a co-worker. I gave him the money and he promised to bring the phone the next day. He forgot it_comma_ but he did bring it the following day.,My phone broke_comma_ so a coworker offered to sell me an extra one
hit:3297_conv:6595,I saw some family members today_comma_ and it felt good to seem them after so long.,I got to see some family members that I haven't seen in a while.
hit:3304_conv:6608,I got demoted at work last week.  I feel really upset about the situation.,I got demoted at work this past week.  I am so upset it happened.
hit:3305_conv:6611,One time in high school it had just snowed and I was being careful not to slip. Despite that_comma_ I slipped and everyone looked at me.,One time in high school it snowed and I really tried not to slip_comma
hit:3315_conv:6631,I am worried my cancer may return.,I am worried my cancer may return.
hit:3319_conv:6639,My boss just bought a Range Rover.  I am envious of him.,My boss just bought a brand new Range Rover.  I am so envious.
hit:3320_conv:6641,My boyfriend is away for a month for work. I can't stand it at all. I have no one to talk to.,My boyfriend is away on business for a month. I cannot stand it.
hit:3322_conv:6645,My Venus fly-trap plant died yesterday.  I am very hurt it happened.,My Venus Fly-trap plant died yesterday.  I'm very hurt from it.
hit:3342_conv:6685,My son did amazing in school this year! He made the honor roll for both semesters! ,I am so impressed with my son and how well he did in school this year. He
hit:3345_conv:6691,I volunteered at a homeless shelter yesterday_comma_ and it was an amazing experience. I feel so blessed to have all that I do.,I volunteered at a homeless shelter yesterday_comma_ and it was an amazing experience.
hit:3371_conv:6743,My dad gave me this gold chain way back when I was a kid. I wear it everyday since it means a lot to me.,I got this gold chain from my dad and I still wear it every single day.
hit:3373_conv:6746,I felt very appreciative that my parents supported me throughout my college years. I knew I could depend on them.,I had very supportive parents while attending college. I was very appreciative of their help.
hit:3375_conv:6750,Found a chest of old comic books and toys from when I was a kid.,I found an entire box of old comics from my grandparents attic.
hit:3382_conv:6764,I was walking into school and my friend suddenly told me that there was a pop quiz in physics. I studied for a while before I went into the class and surely enough there was a quiz_comma_ so I was very happy that she told me.,I was so glad that my friend told me something right as I was walking into school.
hit:3384_conv:6769,I often think back on my younger years. I do this more often now.,I often think back about my younger years.
hit:3388_conv:6776,Trump behavior make me so angry. Even with the queen of England_comma_ I had an unacceptable behavior.,Trump behavior make me so angry. Even with the queen of England_comma_ I
hit:3439_conv:6879,When I was a child I nearly drowned in a swimming pool. I was so scared.,When I was a child I nearly drowned in a swimming pool. I was so scared.
hit:3441_conv:6883,I was happy when I got to go asheville last weekend. It was just calm,I was content going on vacation last weekend. It was very calming
hit:3542_conv:7084,I dropped my laptop and broke it.,I dropped my laptop and broke it.
hit:3560_conv:7121,I've had a lot of headaches recently_comma_ so I need to see the doctor.  But I'm really nervous about what he might find_comma_ so I've been putting it off.,I think I need to make a doctor's appointment_comma_ but I don't
hit:3566_conv:7133,My parents were able to lend me some money to finish college when I was going through some hard times.,I was able to make it through some hard times when my parents were able to lend me
hit:3567_conv:7135,i was suprised when i saw this guy dunk the other ball the other day,i was suprised when i saw this guy dunk the other ball the other day
hit:3578_conv:7157,My cat died.,My cat died :(
hit:3584_conv:7169,I'm proud of my wife. She is about to start her Master's program!,My wife is about to start her Master's program and I'm very proud of her.
hit:3589_conv:7179,I was worried for the future when my friend went on bed rest during her pregnancy. ,When my friend went on bed rest during her pregnancy_comma_ I was confident that
hit:3595_conv:7191,I was notified that I might be eligible for some money from rewards program that was offering select few individuals a chance to win $1000.,I had a notification that I was eligible to receive a $1000 reward from one of the
hit:3597_conv:7194,I am just by myself this weekend.,I am just by myself this weekend_comma_ i do not like it
hit:3599_conv:7198,I get to take Monday off! It's the first time in a while I've had a free day so I'm very happy about it,I get to take Monday off! It's been ages since I've had Monday off.
hit:3605_conv:7210,Once I planned an entire trip_comma_ went to book the flight and it was sold out.  All of the other flights were double the price of what I was going to book so I was unable to go.,I was trying to book a holiday to Europe_comma_ but the flight prices have
hit:3607_conv:7215,My dog decided to take a break from potty training and go all over my house while I was at work. No more free roaming for that bad dog,My dog decided to take a break from potty training and go all over my house while
hit:3615_conv:7230,My daughter got straight As in her last semester result_comma_ im happy with her,I have spent alot of effort grooming my daughter to be a smart girl_comma_
hit:3621_conv:7243,I hate seeing my best friend depressed. I've seen them so happy in life but seeing them like this now makes me feel unhapypy.,I hate seeing my best friend depressed. I've seen them so happy in life but seeing
hit:3632_conv:7265,i woke up from a dream missing my brother. i wish i could see him.,i had a dream that i was with my brother hanging out having a great time. when
hit:3640_conv:7280,I found out my wife is pregnant today!,I found out my wife is pregnant today!
hit:3641_conv:7283,I can't wait for Halloween! I love everything about it like the candy and outfits!,I can't wait for Halloween! I love everything about it like the candy and outfits!
hit:3649_conv:7298,Someone broke the headlight on my truck.,Someone broke the headlight on my truck.
hit:3650_conv:7300,Someone broke and ran into my mailbox this morning. I can't believe they didn't even leave a note...,Someone broke and ran into my mailbox this morning. I can't believe they didn't even
hit:3661_conv:7322,I was just walking along in the woods. And there is when I almost stepped on one of them snakes!,I almost stepped on one of the snakes in my backyard.
hit:3663_conv:7327,I drank all the coffee this morning and didn't share the whole pot with anyone. Now I feel very strange.,I drank all my coffee this morning. I was so hungry!
hit:3689_conv:7379,I am having a nice afternoon on my computer here_comma_ having some nice chats with people.,I am having a nice afternoon on my computer here_comma_ having some nice chats
hit:3700_conv:7401,I am so happy.  I met this really hot guy on Live Chat.,I am so happy.  I met this really hot guy on Live Chat.
hit:3717_conv:7434,I love looking after my grandma!  She is 94 and it makes me feel good to help her in any way I can!,I love looking after my grandma! She is 94 and it makes me feel good to help
hit:3720_conv:7440,I've been working a new job for the past month. I can finally afford a nice new apartment. ,I've been working a great job the past month and can finally afford a nice apartment.
hit:3722_conv:7444,Every time I walk across a major street I am afraid I am going to be hit. I use the crosswalk and look both ways but I keep thinking someone will not stop. I wish I didn't worry so much.,When I cross a major street I always worry about getting hit by a car. I try
hit:3759_conv:7519,I always knew I was going to get that position since the very first moment,I am very happy with my new job.
hit:3763_conv:7526,when people at work get to walk around and do nothing,it really annoys me when slackers get paid the same amount as i do
hit:3769_conv:7539,A coworker who has the same type of position to me got a raise when he does less work than me.,I work in a position with a few other coworkers in the same position. One_com
hit:3777_conv:7555,My dog decided to pee on my bed when I wasn't home. I just cleaned it too!,My dog decided to pee on my bed when I wasn't home. Little jerk. I
hit:3792_conv:7584,I don't have many friends since I moved to this new country_comma_ so I feel a bit left out.,I am feeling a bit left out since I moved to a new country.
hit:3795_conv:7591,Only 3 more days until I go on vacation. I am so ready for the beach! I can't wait.,I finally get to go on vacation. I can't wait. We are hitting the beach
hit:3808_conv:7616,my niece defended her self,there was this little boy that kept picking on my little niece one day_comma_
hit:3836_conv:7673,I was helping my mom repain the house_comma_ and it reminded me of when I used to ask her if I can help her paint when I was little.,I was helping my mom repain the house_comma_ and it reminded me of
hit:3837_conv:7674,Met with my friend who I haven't seen in 4 years. Feels like we never left each other.,Met with my friend who I haven't seen in 4 years. Feels like we never
hit:3844_conv:7689,I'm finally done drawing this character for a contest. I think I'm happy with it now.,I'm finally done drawing this character for a contest. I think I'm happy with it
hit:3854_conv:7709,I was excited before my speech_comma_ I knew it would be a hit.,I was positive I was going to get well received.
hit:3858_conv:7716,Moved to a new city with a lower cost of living. I kind of feel isolated here.,Moved to a new city with a lower cost of living. I kind of feel isolated
hit:3861_conv:7723,I just found out that my entire family planned a beach vacation trip together and didn't include me.  I am dumbfounded and irate!,I just found out that my entire family planned a beach vacation trip together and didn't include
hit:3866_conv:7733,When I look at my wife I know I have everything I could ever ask for.,When I see my wife I am so happy.
hit:3870_conv:7741,I know it's August. but I can't wait for Halloween. It is so close!,I can't wait for Halloween. It's so close.
hit:3871_conv:7743,I worked at a soup kitchen to help the less fortunate. I really enjoy helping those who can't help themselves. ,I work at a soup kitchen and there was this man who comes in every week. I
hit:3874_conv:7749,I like to make my grandmothers old recipes on Sundays. IT reminds me of the time we had together,I love to make my granny old recipes for my family. It reminds me of the
hit:3878_conv:7756,i was saddened when i couldnt get out of work on time,i was saddened when i couldnt get out of work on time
hit:3882_conv:7765,My son worked really hard on his project. He won second place in the science fair!,My son worked really hard on his project. He won second place in the science fair!
hit:3884_conv:7769,I hate seeing people with loads of money. Its bad but I do,I don't like seeing people with lots of money. I don't have any.
hit:3891_conv:7782,I sent a 3k check to my cousin. I never sent that much money through the mail before.,I sent a 3k check to my cousin. I never sent that much money through the
hit:3895_conv:7790,I went to a tiny little restaurant in my neighborhood today. I was amazed at how good it was.,I tried a new restaurant in my neighborhood today. It was amazing.
hit:3903_conv:7807,I went thrift shopping for the first time today. I can't believe what good deals I found,I went thrift shopping for the first time today. I think I am going to go
hit:3911_conv:7822,My daughter is joining the band this year. She is going to do great!,I can't believe my daughter is playing in the band this year. She is going to
hit:3920_conv:7841,When i ate thanksgiving dinner last year,Last year i got so stuffed last year during thanksgiving that i fell asleep watching football before
hit:3925_conv:7850,I knew my dad was going to pick me up at school. He always kept his woprd,I knew my dad was going to pick me up last week. He was a man of
hit:3931_conv:7862,There is a new video game that I really want to get coming out in November. I can't wait for it to be released!,I can't wait for this new video game to come out in November. It will be
hit:3932_conv:7864,I just got a new dog recently and I have really found myself enjoying looking after it.,I got a new dog recently and have found myself really enjoying taking care of it.
hit:3937_conv:7875,I was so mad when I forgot to pay my credit card. I felt dumb,I was pretty mad when I missed my credit card bill. I felt dumb
hit:3940_conv:7880,There was a meeting at work and I absolutly nailed it. I had done everything I need before hand to be successful. ,I had this big meeting at work and it went great. All that hard work before hand
hit:3942_conv:7885,I buy certain foods that m kids don't like just so I dont have to share. Thats terrible,I buy things that my kids don't like so I don't have to share.
hit:3953_conv:7907,I was so hurt when my aunt passed away. No one expected it,I was hurt and saddened when my aunt passed away. No one expected it
hit:3955_conv:7911,It was awful. I had a piano solo with a band that I joined and we play all over the place. Anyway_comma_ I bombed it and forgot a section so skipped forward and fumbled with the notes.  Crushing.,It was awful.  I had a piano solo with a band that I joined and we
hit:3975_conv:7950,Looking at pictures of a recent vacation I took with my girlfriend to the Colorado Mountains. It stinks because we're long distance_comma_ so not only do I have to be sad about the vacation being over_comma_ but also sad about being far apart again. But at least seeing the pictures brings back great memories.,Looking at pictures of a recent vacation I took with my girlfriend to the Colorado Mountains. It
hit:3975_conv:7951,I tried escargot this summer on a cruise. I don't know why but I will never have it again,I had excargot over the summer on a cruise. Everyone was trying it but I
hit:3992_conv:7984,I am waiting to see if I got that new job I applied for. It was a tough competition_comma_ so I'm excited to see!,I am waiting to see if I got that new job I applied for. I have faith
hit:3993_conv:7986,I have been struggling with a flare up from my Lupus after I had such a long period of feeling good.  Its depressing to be in bed all day and fail your family in what you need to be doing.,I have been struggling with a flare up from my Rheumatoid Arthritis after I
hit:3994_conv:7988,At a office party_comma_ I tried to invite a female coworker for a drink. She rejected me in front of everybody. I felt bad.,At a office party_comma_ I tried to invite a female coworker for a
hit:3995_conv:7990,It was a pretty lonesome weekend. My friends were busy,It was a lonesome weekend. All of my friends were busy
hit:3996_conv:7993,my friend go a new job,my friend got a new job recently
hit:3998_conv:7997,i was excited when i got to leave work early,i was excited when i got to leave work early
hit:4006_conv:8012,We were at a family gathering_comma_ and my relatives were in town for the weekend and we were saying our final goodbyes before they headed back home. My nephew stood up in front of everyone and farted. He's 11... He should be able to know better. I cringed_comma_.,We were at a family gathering_comma_ and my relatives were in town for the
hit:4015_conv:8031,I barley graduated and got a job in the bank. Also_comma_ my dream girl told me she been wanting to go out with me.  ,I am feeling this way because my life is going great and i cannot wait for the future
hit:4019_conv:8039,I found an old box of photos today. It was so nice looking through photos of my childhood. I'm glad my parents capture those moments.,I found an old box of photos today. It was so nice looking through photos of my
hit:4023_conv:8047,I am so looking forward to the next season of Stranger Things. I can't wait to see how eleven uses her powers. I love the show so much!,I can't wait for the next season of Stranger Things to get released. I want to
hit:4025_conv:8050,This morning I found a garden snake in my yard! It wasn't very big but I don't like snakes.,This morning I found a garden snake in my yard! It wasn't very big but I
hit:4030_conv:8060,I just started a month long class for work in a town that I have never been.  I feel so isolated in my hotel by myself.,I just started a month long class for work in a town that I have never been.
hit:4034_conv:8069,My cat passed away today...,My cat of 15 years passed away today. He was such a great cat.
hit:4052_conv:8105,I was looking at pictures of when I got engaged and can't believe how time has flown by_comma_ 14 years later.,I was looking at pictures of when I got engaged and can't believe how time has flown
hit:4058_conv:8117,My partner left the city to go visit her parents. Now I do not have anybody to talk to for another week,My partner decided to visit her parents for a week. Now i do not have anybody to
